,Year,Month,CSUSHPISA,GDP_Capita,working_age_pop,Monthly_Supply_Houses,CPI,UNRATE,EMPrate,Construction Price Index,FEDFUNDS,Num_Households,median_income,HOUSES_SUBSIDARIES,old_age_pop,Date
0,2001,1,109.847,49911.0,180346200.0,3.8,175.6,4.2,73.96498000000001,142.0,5.98,108209.0,68870.0,20.573,4.05,2001-01-01
1,2001,2,110.502,49961.44,180507000.0,3.7000000000000006,176.0,4.2,73.87213,142.4,5.489999999999999,108209.0,68870.0,20.573,4.05,2001-02-01
2,2001,3,111.109,50054.56,180599100.0,3.7999999999999994,176.1,4.3,73.90465999999999,142.4,5.31,108209.0,68870.0,20.573,4.05,2001-03-01
3,2001,4,111.652,50105.0,180853100.0,3.9,176.4,4.4,73.55468,142.5,4.8,108209.0,68870.0,20.573,4.05,2001-04-01
4,2001,5,112.164,50018.94,181010700.0,4.0,177.30000000000004,4.3,73.39668,144.2,4.21,108209.0,68870.0,20.573,4.05,2001-05-01
5,2001,6,112.79699999999998,49860.06,181357000.0,4.2,177.69999999999996,4.5,73.14341999999999,144.3,3.97,108209.0,68870.0,20.573,4.05,2001-06-01
6,2001,7,113.491,49774.0,181599400.0,4.2,177.4,4.6,73.12579000000001,143.4,3.77,108209.0,68870.0,20.573,4.05,2001-07-01
7,2001,8,114.169,49776.34,181862100.0,4.4,177.4,4.9,72.58075,143.3,3.65,108209.0,68870.0,20.573,4.05,2001-08-01
8,2001,9,114.812,49780.66,181983800.0,4.4,178.1,5.0,72.78609,143.0,3.07,108209.0,68870.0,20.573,4.05,2001-09-01
9,2001,10,115.309,49783.0,182247700.0,4.3,177.6,5.3,72.46528,142.3,2.49,108209.0,68870.0,20.573,4.05,2001-10-01
10,2001,11,115.856,49863.079999999994,182518600.0,4.1,177.5,5.5,72.31813000000001,142.1,2.09,108209.0,68870.0,20.573,4.05,2001-11-01
11,2001,12,116.454,50010.920000000006,182719400.0,3.7999999999999994,177.4,5.7,72.23861,141.7,1.82,108209.0,68870.0,20.573,4.05,2001-12-01
12,2002,1,117.144,50091.0,182668900.0,4.2,177.7,5.7,72.03223,142.0,1.73,109297.0,68310.0,24.183,4.1,2002-01-01
13,2002,2,117.844,50141.700000000004,182824700.0,4.0,178.0,5.7,72.33686,142.2,1.74,109297.0,68310.0,24.183000000000003,4.075,2002-02-01
14,2002,3,118.687,50235.299999999996,183083800.0,4.1,178.5,5.7,72.15416,143.2,1.7299999999999998,109297.0,68310.0,24.183000000000003,4.075,2002-03-01
15,2002,4,119.61100000000002,50286.0,183315900.0,4.3,179.3,5.9,71.90136,143.5,1.75,109297.0,68310.0,24.183,4.1,2002-04-01
16,2002,5,120.724,50305.76,183461200.0,4.0,179.5,5.8,72.01969,143.8,1.75,109297.0,68310.0,24.183000000000003,4.075,2002-05-01
17,2002,6,121.813,50342.24,183671700.0,4.2,179.6,5.8,71.84252,144.3,1.75,109297.0,68310.0,24.183000000000003,4.075,2002-06-01
18,2002,7,122.88899999999998,50362.0,183867600.0,4.2,180.0,5.8,71.7462,144.7,1.73,109297.0,68310.0,24.183,4.1,2002-07-01
19,2002,8,123.831,50346.4,184123800.0,4.0,180.5,5.7,71.88448000000001,145.1,1.74,109297.0,68310.0,24.183000000000003,4.075,2002-08-01
20,2002,9,124.781,50317.6,184241500.0,3.9,180.80000000000004,5.7,72.05198,145.4,1.75,109297.0,68310.0,24.183000000000003,4.075,2002-09-01
21,2002,10,125.73600000000002,50302.0,184453300.0,4.0,181.2,5.7,71.87589,145.0,1.75,109297.0,68310.0,24.183,4.1,2002-10-01
22,2002,11,126.67,50343.6,184789000.0,4.0,181.5,5.900000000000001,71.54951,144.6,1.34,109297.0,68310.0,24.183000000000003,4.075,2002-11-01
23,2002,12,127.623,50420.4,184909500.0,4.0,181.80000000000004,6.0,71.57857,144.3,1.24,109297.0,68310.0,24.183000000000003,4.075,2002-12-01
24,2003,1,128.461,50462.0,185657300.0,4.0,182.6,5.8,71.5936,144.4,1.24,111278.0,68350.0,25.93,3.914285714285714,2003-01-01
25,2003,2,129.356,50548.84,185828200.0,4.5,183.6,5.900000000000001,71.51534000000001,145.2,1.26,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-02-01
26,2003,3,130.148,50709.16,186123300.0,4.1,183.9,5.900000000000001,71.3922,145.2,1.25,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-03-01
27,2003,4,130.884,50796.0,186476700.0,4.1,183.2,6.0,71.38863,145.9,1.26,111278.0,68350.0,25.93,3.914285714285714,2003-04-01
28,2003,5,131.735,50982.16,186699000.0,3.9,182.9,6.099999999999999,71.22086999999999,145.8,1.26,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-05-01
29,2003,6,132.649,51325.84,186893500.0,3.5,183.1,6.3,71.22948000000001,146.1,1.22,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-06-01
30,2003,7,133.77700000000002,51512.0,187167800.0,3.6,183.7,6.2,71.006,147.0,1.01,111278.0,68350.0,25.93,3.914285714285714,2003-07-01
31,2003,8,134.968,51635.24,187379200.0,3.5,184.5,6.099999999999999,71.01548000000001,147.2,1.03,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-08-01
32,2003,9,136.29399999999998,51862.76,187554900.0,3.7999999999999994,185.1,6.099999999999999,70.92384,149.0,1.01,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-09-01
33,2003,10,137.532,51986.0,187712500.0,3.8,184.9,6.0,71.05398000000001,149.6,1.01,111278.0,68350.0,25.93,3.914285714285714,2003-10-01
34,2003,11,138.79399999999998,52036.18,187911000.0,4.1,185.0,5.8,71.13011999999999,150.2,1.0,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-11-01
35,2003,12,140.18,52128.82,188024100.0,4.0,185.5,5.7,71.102,149.7,0.98,111278.0,68350.0,25.929999999999996,3.908333333333333,2003-12-01
36,2004,1,141.64600000000002,52179.0,187566400.0,3.8,186.3,5.7,71.26087,150.0,1.0,112000.0,68250.0,27.201,3.9875,2004-01-01
37,2004,2,143.191,52254.4,187831900.0,3.7000000000000006,186.69999999999996,5.599999999999999,71.20326999999999,153.4,1.01,112000.0,68250.0,27.201000000000004,4.0,2004-02-01
38,2004,3,145.058,52393.6,188107500.0,3.6,187.1,5.8,71.04633000000001,156.5,1.0,112000.0,68250.0,27.201000000000004,4.0,2004-03-01
39,2004,4,146.593,52469.0,188338100.0,4.0,187.4,5.6,71.19505,160.1,1.0,112000.0,68250.0,27.201,3.9875,2004-04-01
40,2004,5,148.186,52564.16,188541300.0,3.7999999999999994,188.19999999999996,5.599999999999999,71.14198,162.7,1.0,112000.0,68250.0,27.201000000000004,4.0,2004-05-01
41,2004,6,149.852,52739.84,188689700.0,3.9,188.9,5.599999999999999,71.10732,162.0,1.03,112000.0,68250.0,27.201000000000004,4.0,2004-06-01
42,2004,7,151.338,52835.0,188779800.0,4.5,189.1,5.5,71.29648,162.2,1.26,112000.0,68250.0,27.201,3.9875,2004-07-01
43,2004,8,152.635,52940.82,189025400.0,4.3,189.19999999999996,5.400000000000001,71.2589,165.9,1.43,112000.0,68250.0,27.201000000000004,4.0,2004-08-01
44,2004,9,154.179,53136.18,189278400.0,4.1,189.80000000000004,5.400000000000001,71.16233000000001,167.2,1.61,112000.0,68250.0,27.201000000000004,4.0,2004-09-01
45,2004,10,155.752,53242.0,189470000.0,3.9,190.8,5.5,71.2292,165.9,1.76,112000.0,68250.0,27.201,3.9875,2004-10-01
46,2004,11,157.529,53366.02,189644300.0,4.3,191.69999999999996,5.400000000000001,71.3628,165.5,1.93,112000.0,68250.0,27.201000000000004,4.0,2004-11-01
47,2004,12,159.33100000000002,53594.98,189848000.0,4.1,191.69999999999996,5.400000000000001,71.30595,166.3,2.16,112000.0,68250.0,27.201000000000004,4.0,2004-12-01
